"","NEST_NO","SPECIES","DATE","OBS","EGGNO","LENGTH","WIDTH","LINK","WEBTAG","WEIGHT","RADIO","TAGDATE","Year"
"211","TLM031","SPEI",1994-05-30,"TLM",1,67.5,44,NA,0,0,0,NA,"1994"
"212","TLM031","SPEI",1994-05-30,"TLM",2,67.7,43.8,NA,0,0,0,NA,"1994"
"213","TLM031","SPEI",1994-05-30,"TLM",3,65.6,43.6,NA,0,0,0,NA,"1994"
"214","TLM031","SPEI",1994-05-30,"TLM",4,66,44.3,NA,0,0,0,NA,"1994"
"215","TLM031","SPEI",1994-05-30,"TLM",5,66.8,43.6,NA,0,0,0,NA,"1994"
"216","TLM032","SPEI",1994-05-30,"TLM",1,68.1,43.7,NA,0,0,0,NA,"1994"
"217","TLM032","SPEI",1994-05-30,"TLM",2,65,46.4,NA,0,0,0,NA,"1994"
"218","TLM032","SPEI",1994-05-30,"TLM",3,66.9,45.9,NA,0,0,0,NA,"1994"
"219","TLM032","SPEI",1994-05-30,"TLM",4,66.5,46.2,NA,0,0,0,NA,"1994"
"220","TLM032","SPEI",1994-05-30,"TLM",5,66.3,45.8,NA,0,0,0,NA,"1994"
"221","TLM033","SPEI",1994-05-30,"TLM",1,69,46.7,NA,0,0,0,NA,"1994"
"222","TLM033","SPEI",1994-05-30,"TLM",2,70.2,45,NA,0,0,0,NA,"1994"
"223","TLM033","SPEI",1994-05-30,"TLM",3,65.6,46.6,NA,0,0,0,NA,"1994"
"224","TLM033","SPEI",1994-05-30,"TLM",4,69.7,46.5,NA,0,0,0,NA,"1994"
"225","TLM033","SPEI",1994-05-30,"TLM",5,68.6,46.6,NA,0,0,0,NA,"1994"
"226","TLM033","SPEI",1994-05-30,"TLM",6,68.3,46.4,NA,0,0,0,NA,"1994"
"227","TLM033","SPEI",1994-05-30,"TLM",7,67.5,46.5,NA,0,0,0,NA,"1994"
"228","TLM042","SPEI",1994-05-30,"TLM",1,68,44.6,NA,0,0,0,NA,"1994"
"229","TLM042","SPEI",1994-05-30,"TLM",2,68,45.6,NA,0,0,0,NA,"1994"
"230","TLM042","SPEI",1994-05-30,"TLM",3,69.5,45.1,NA,0,0,0,NA,"1994"
"231","TLM042","SPEI",1994-05-30,"TLM",4,65.8,45.7,NA,0,0,0,NA,"1994"
"232","TLM042","SPEI",1994-05-30,"TLM",5,66.4,43.6,NA,0,0,0,NA,"1994"
"233","TLM043","SPEI",1994-05-30,"TLM",1,65.2,45.3,NA,0,0,0,NA,"1994"
"234","TLM043","SPEI",1994-05-30,"TLM",2,67.1,44.2,NA,0,0,0,NA,"1994"
"235","TLM043","SPEI",1994-05-30,"TLM",3,63.8,46,NA,0,0,0,NA,"1994"
"236","TLM043","SPEI",1994-05-30,"TLM",4,64.2,45.7,NA,0,0,0,NA,"1994"
"237","TLM043","SPEI",1994-05-30,"TLM",5,65.1,45.8,NA,0,0,0,NA,"1994"
"238","TLM043","SPEI",1994-05-30,"TLM",6,65.3,46.4,NA,0,0,0,NA,"1994"
"239","TLM030","COEI",1994-05-30,"TLM",1,73.5,49.9,NA,0,0,0,NA,"1994"
"240","TLM030","COEI",1994-05-30,"TLM",2,76.9,49.8,NA,0,0,0,NA,"1994"
"241","TLM030","COEI",1994-05-30,"TLM",3,76,50.2,NA,0,0,0,NA,"1994"
"242","TLM030","COEI",1994-05-30,"TLM",4,76.1,50.2,NA,0,0,0,NA,"1994"
"243","TLM034","COEI",1994-05-30,"TLM",1,77.3,49.3,NA,0,0,0,NA,"1994"
"244","TLM034","COEI",1994-05-30,"TLM",2,73.2,49.2,NA,0,0,0,NA,"1994"
"245","TLM034","COEI",1994-05-30,"TLM",3,71.4,48.8,NA,0,0,0,NA,"1994"
"246","TLM034","COEI",1994-05-30,"TLM",4,77.8,50,NA,0,0,0,NA,"1994"
"247","TLM034","COEI",1994-05-30,"TLM",5,72.1,49.4,NA,0,0,0,NA,"1994"
"248","TLM034","COEI",1994-05-30,"TLM",6,77.6,50,NA,0,0,0,NA,"1994"
"249","TLM034","COEI",1994-05-30,"TLM",7,78.1,49.4,NA,0,0,0,NA,"1994"
"250","TLM035","COEI",1994-05-30,"TLM",1,75.4,49.7,NA,0,0,0,NA,"1994"
"251","TLM035","COEI",1994-05-30,"TLM",2,75.6,49.1,NA,0,0,0,NA,"1994"
"252","TLM035","COEI",1994-05-30,"TLM",3,76.4,50,NA,0,0,0,NA,"1994"
"253","TLM035","COEI",1994-05-30,"TLM",4,76,50.4,NA,0,0,0,NA,"1994"
"254","TLM036","COEI",1994-05-30,"TLM",1,76.2,51,NA,0,0,0,NA,"1994"
"255","TLM036","COEI",1994-05-30,"TLM",2,74.4,50.7,NA,0,0,0,NA,"1994"
